ccn,cms_name,cms_name_as_of,state,hospital_type,ownership,beds,latitude,longitude,prior_names
021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,2023-10,AK,Critical Access,Voluntary non-profit - Church,51.0,55.352717,-131.686049,KETCHIKAN MEDICAL CENTER
021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,2023-10,AK,Critical Access,Government - Federal,16.0,71.298135,-156.72732,
021313,SOUTH PENINSULA HOSPITAL,2023-10,AK,Critical Access,Voluntary non-profit - Private,49.0,59.652133,-151.550296,
021314,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,2023-10,AK,Critical Access,Voluntary non-profit - Private,26.0,57.05201,-135.356353,MT EDGECUMBE HOSPITAL
130002,ST LUKES MAGIC VALLEY MEDICAL CENTER,2023-10,ID,Acute Care,Voluntary non-profit - Private,205.0,42.591595,-114.496998,ST LUKE'S MAGIC VALLEY RMC | ST LUKES MAGIC VALLEY RMC
130003,ST JOSEPH REGIONAL MEDICAL CENTER,2023-10,ID,Acute Care,Voluntary non-profit - Private,122.0,46.417121,-117.024997,
130006,ST LUKE'S REGIONAL MEDICAL CENTER,2023-10,ID,Acute Care,Voluntary non-profit - Private,569.0,43.612157,-116.192202,ST LUKES REGIONAL MEDICAL CENTER
130007,SAINT ALPHONSUS REGIONAL MEDICAL CENTER,2023-10,ID,Acute Care,Voluntary non-profit - Church,380.0,43.614072,-116.253622,ST ALPHONSUS REGIONAL MEDICAL CENTER
130013,SAINT ALPHONSUS MEDICAL CENTER - NAMPA,2023-10,ID,Acute Care,Voluntary non-profit - Church,128.0,43.596332,-116.519174,
130014,WEST VALLEY MEDICAL CENTER,2023-10,ID,Acute Care,Proprietary,108.0,43.65422,-116.69564,
130018,EASTERN IDAHO REGIONAL MEDICAL CENTER,2023-10,ID,Acute Care,Proprietary,313.0,43.470276,-111.990159,
130025,MADISON MEMORIAL HOSPITAL,2023-10,ID,Acute Care,Government - Local,68.0,43.826051,-111.773148,
130028,PORTNEUF MEDICAL CENTER,2023-10,ID,Acute Care,Proprietary,168.0,42.872621,-112.4189,
130049,KOOTENAI HEALTH,2023-10,ID,Acute Care,Government - Hospital District or Authority,286.0,47.694597,-116.792669,KOOTENAI MEDICAL CENTER
130063,TREASURE VALLEY HOSPITAL,2023-10,ID,Acute Care,Proprietary,11.0,43.611289,-116.290332,
130065,MOUNTAIN VIEW HOSPITAL,2023-10,ID,Acute Care,Proprietary,41.0,43.472524,-111.988717,
130066,NORTHWEST SPECIALTY HOSPITAL,2023-10,ID,Acute Care,Proprietary,34.0,47.71441,-116.924455,
130067,IDAHO DOCTORS HOSPITAL,2019-10,ID,Acute Care,Proprietary,8.0,,,
130071,ST LUKE'S NAMPA MEDICAL CENTER,2023-10,ID,Acute Care,Voluntary non-profit - Private,82.0,43.616618,-116.590734,
130072,SAINT ALPHONSUS NEIGHBORHOOD HOSPITAL- SOUTH NAMPA,2019-10,ID,Acute Care,Proprietary,8.0,,,SAINT ALPHONSUS NEIGHBORHOOD HOSPITAL OF SOUNT NAMPA
130073,GROVE CREEK MEDICAL CENTER,2023-10,ID,Acute Care,Voluntary non-profit - Private,8.0,43.196301,-112.356124,
130074,"IDAHO FALLS COMMUNITY HOSPITAL, LLC",2023-10,ID,Acute Care,Proprietary,88.0,,,
131301,BOUNDARY COMMUNITY HOSPITAL,2023-10,ID,Critical Access,Voluntary non-profit - Other,50.0,48.70257,-116.322084,
131302,NORTH CANYON MEDICAL CENTER,2023-10,ID,Critical Access,Voluntary non-profit - Private,16.0,42.921869,-114.711128,
131303,NELL J REDFIELD MEMORIAL HOSPITAL,2023-10,ID,Critical Access,Government - Local,45.0,42.189638,-112.250759,ONEIDA COUNTY HOSPITAL
131304,POWER COUNTY HOSPITAL DISTRICT,2023-10,ID,Critical Access,Government - Hospital District or Authority,30.0,42.781858,-112.849047,HARMS MEMORIAL HOSPITAL
131305,STEELE MEMORIAL MEDICAL CENTER,2023-10,ID,Critical Access,Voluntary non-profit - Other,18.0,45.173311,-113.890918,
131307,WEISER MEMORIAL HOSPITAL,2023-10,ID,Critical Access,Government - Hospital District or Authority,19.0,44.248761,-116.961735,
131308,CASCADE MEDICAL CENTER,2023-10,ID,Critical Access,Government - Hospital District or Authority,8.0,44.517921,-116.048938,
131309,CARIBOU MEDICAL CENTER,2023-10,ID,Critical Access,Government - Local,48.0,42.652235,-111.613354,CARIBOU MEMORIAL HOSPITAL
131310,ST LUKE'S JEROME,2023-10,ID,Critical Access,Voluntary non-profit - Private,25.0,42.730293,-114.51849,
131311,ST LUKE'S ELMORE MEDICAL CENTER,2023-10,ID,Critical Access,Voluntary non-profit - Private,60.0,43.139199,-115.692487,
131312,ST LUKE'S MCCALL,2023-10,ID,Critical Access,Voluntary non-profit - Private,15.0,44.909354,-116.109703,
131313,TETON VALLEY HOSPITAL,2023-10,ID,Critical Access,Voluntary non-profit - Private,13.0,43.727285,-111.108608,
131314,SHOSHONE MEDICAL CENTER,2023-10,ID,Critical Access,Government - Hospital District or Authority,21.0,47.547123,-116.131409,
131315,SYRINGA GENERAL HOSPITAL,2023-10,ID,Critical Access,Government - Hospital District or Authority,15.0,45.926789,-116.126994,
131316,BEAR LAKE MEMORIAL HOSPITAL,2023-10,ID,Critical Access,Government - Local,4494.0,42.316242,-111.300847,
131317,BENEWAH COMMUNITY HOSPITAL,2023-10,ID,Critical Access,Government - Local,19.0,47.314613,-116.566678,
131318,VALOR HEALTH,2023-10,ID,Critical Access,Government - Local,14.0,43.879078,-116.485255,WALTER KNOX MEMORIAL HOSPITAL
131319,MINIDOKA MEMORIAL HOSPITAL,2023-10,ID,Critical Access,Government - Local,63.0,42.619625,-113.685362,
131320,CLEARWATER VALLEY HOSPITAL & CLINICS,2023-10,ID,Critical Access,Voluntary non-profit - Private,23.0,46.487315,-116.259916,
